w,c,zh,en,us,core,ex,exz
insurance,ɪn'ʃʊər(ə)ns,n. 保险,"n. an arrangement with a company in which you pay them money, especially regularly, and they pay the costs if something bad happens, for example if you become ill or your car is damaged",ɪn'ʃʊrəns,"【记忆】insur(e)(给…保险) + ance → 保险； 保险费； 保险业 | 【短语】insurance company (保险公司), medical insurance (医疗保险), health insurance (健康保险)",Your father took out insurance to cover the mortgage.,你父亲购买了抵押借款保险。
authority,ɔː'θɒrɪtɪ,n. 威信；当局；权威；权力,n. the power you have because of your official position,ə'θɔrəti,"【短语】competent authority ([法]主管当局，主管部门), authority on (有关…的权威；…的专家), local authority (地方当局；地方政权)",an agreement between the US and Colombian authorities,美国和哥伦比亚当局的一份协议
endorse,ɪn'dɔːs; en-,v. 背书，签署(姓名)，赞同,v. to express formal support or approval for someone or something,ɪn'dɔrs,,I can endorse their opinion wholeheartedly.,我可以全心全意地支持他们的观点。
wrap,ræp,vt&vi. 包裹,vt&vi. to put paper or cloth over something to cover it,ræp,"【记忆】w + rap(使着迷) → 被缠绕着 → 缠绕 | 【短语】wrap up (伪装；使全神贯注；穿暖和的衣服), under wraps (不公开的；秘密的), wrap around (adj. 卷绕的，环绕的)",I’ve still got a few Christmas presents to wrap up.,我还有一些圣诞礼物要包起来。
lenient,'liːnɪənt,adj. 宽大的，宽厚的,adj. not strict in the way you punish someone or in the standard you expect,'linɪənt,【记忆】len(软) + ient → 心肠软的 → 仁慈的,the lenient sentences handed down by some judges,一些法官作出的宽大判决
pompous,'pɒmpəs,adj. 自负的，夸大的,"adj. someone who is pompous thinks that they are important, and shows this by being very formal and using long words – used to show disapproval",'pɑmpəs,,He seems rather pompous.,他看上去相当自负。
decorate,'dekəreɪt,v. 装饰；油漆；授勋,v. to make something look more attractive by putting something pretty on it,'dɛkəret,"【记忆】decor(装饰) + ate(动词后缀) → 装饰， 装潢 | 【短语】decorate with (以…来装饰), decorate the house (装饰房间)",Children’s pictures decorated the walls of the classroom.,教室的墙上装点着儿童画。
infinite,'ɪnfɪnət,adj. 无限的，无穷的,adj. without limits in space or time,'ɪnfɪnət,"【短语】infinite loop (无限循环), infinite space (无限空间), infinite variety (多种多样)",The universe is infinite.,宇宙是无限的。
perplex,pə'pleks,v. 迷惑，困惑,"v. if something perplexes you, it makes you feel confused and worried because it is difficult to understand",pɚ'plɛks,【记忆】per(完全) + plex(重叠) → 完全重叠在一起 → 使困惑； 使复杂化,Shea’s symptoms perplexed the doctors.,谢伊的症状令医生们困惑。
snatch,snætʃ,vt&vi. 抢夺，迅速获得,"vt&vi. If you snatch something or snatch at something, you take it or pull it away quickly",snætʃ,【短语】snatch at (抓取),Mick snatched the cards from Archie's hand.,米克一把夺过阿彻手里的牌。
sweep,swiːp,n. 扫，扫除；连绵区域；v. 扫除；掠过；连绵,"n. the act of cleaning a room with a long-handled brush；v. if winds, waves, fire etc sweep a place or sweep through, across etc a place, they move quickly and with a lot of force",swip,"【短语】sweep the floor (扫地；清洁地面；清扫地板，拖地板), sweep away (清除；一扫而空), sweep efficiency (波及系数)",The kitchen needs a good sweep.,厨房需要好好扫一扫了。
odor,'əʊdə,n. 气味，香气；臭气,,'oʊdə,"【短语】body odor (n. 体臭), odor control (臭气控制，气味控制；四氟化硅处理), pungent odor (刺激气味)",The researchers demonstrate that it is possible to generate odor in a compact device that can fit on the back of a TV with potentially thousands of odors.,研究员表示，将一个可以散发上千种气味的小型设备安装在电视背后，从而实现电视(根据情景)生成气味是可能的。
rip,rɪp,v&n. 撕裂，撕开；扯破,v&n. to tear something or be torn quickly and violently,rɪp,"【短语】rip off ([俚]偷窃；扯掉；欺诈；剥削), let rip ([口语]), rip out (扯掉；狠狠地发出)",Her clothes had all been ripped.,她的衣服都被撕破了。
livestock,'laɪvstɒk,n. 家畜，牲畜,n. animals such as cows and sheep that are kept on a farm,'laɪvstɑk,"【记忆】live(活) + stock(东西) → 活物 → 家畜， 牲畜 | 【短语】livestock breeding (畜牧业，畜牧饲养；家畜繁育), livestock farming (畜牧业；养畜业), livestock farm (畜牧场；禽畜饲养场；牧场)",The heavy rains and flooding killed scores of livestock.,大雨和洪水淹死了许多家畜。
unlikely,ʌn'laɪklɪ,adj. 未必的，不大可能的,adj. not likely to happen,ʌn'laɪkli,,"Donna might be able to come tomorrow, but it’s very unlikely.",唐娜明天也许能来，不过这可能性很小。
signature,'sɪgnətʃə,n. 签名,"n. your name written in the way you usually write it, for example at the end of a letter, or on a cheque etc, to show that you have written it",'sɪgnətʃɚ,"【记忆】sign(标记) + at + ure(表行为、 状态， 名词后缀) → 在文件上做记号 → 签名 | 【短语】digital signature (数字签名，数字签字), specimen signature (签字样本；印鉴样本), authorized signature (有权签字人的签字)",Her signature is totally illegible (= cannot be read ) .,她的签字完全无法辨认。
grieve,griːv,v. (使)悲痛，(使)伤心,"v. to feel extremely sad, especially because someone you love has died",griv,"【短语】grieve over (哀悼), grieve for (v. 哀悼)",People need time to grieve after the death of a loved one.,人们在所爱之人去世后会有一段悲伤期。
dizzy,'dɪzɪ,adj. 使人头晕的，眩晕的,"adj. feeling unable to stand steadily, for example because you are looking down from a high place or because you are ill",'dɪzi,【记忆】di(二) + zz(打鼾声) + y → 室友打鼾， 吵得睡不着 → 眩晕的 | 【短语】feel dizzy (头晕；感到晕眩),The heat and the champagne made him feel dizzy .,高温和香槟酒使他感到眩晕。
ancestor,'ænsestə,n. 祖先,n. a member of your family who lived a long time ago,'ænsɛstɚ,【短语】ancestor worship (祖先崇拜；祭祖；敬奉祖先),My ancestors were French.,我的祖先是法国人。
vanish,'vænɪʃ,v. 消失,"v. to disappear suddenly, especially in a way that cannot be easily explained",'vænɪʃ,"【记忆】van(空) + ish → 空无一物 → 不复存在 | 【短语】vanish from (从…失去；从…消失), vanish away (消失)",My keys were here a minute ago but now they’ve vanished.,我的钥匙刚刚还在这里，现在却不翼而飞了。
gallery,'gæl(ə)rɪ,n. 画廊，美术品陈列室；剧场顶层,n. a large building where people can see famous pieces of art,'gæləri,"【短语】art gallery (美术馆；画廊), photo gallery (图片库), picture gallery (画馆；美术馆)",an exhibition of African art at the Hayward Gallery,海沃德美术馆的非洲艺术展览
manual,'mænjʊ(ə)l,adj. 手工的，用手的；n. 手册；便览,"adj. manual work involves using your hands or your physical strength rather than your mind；n. a book that gives instructions about how to do something, especially how to use a machine",'mænjuəl,"【记忆】manu(手) + al(形容词后缀) → 手工的 | 【短语】manual operation ([计]人工操作；手控), manual work (手工作业), manual control (手动控制；人工控制)",People in manual occupations have a lower life expectancy.,干体力活的人预期寿命较短。
whereas,weər'æz,conj. 鉴于；反之,conj. used at the beginning of an official document to mean ‘because of a particular fact’,'wɛr'æz,,"He had never done anything for them, whereas they had done everything for him.",他从未为他们做过任何事，反之他们却为他做了所有事。
glare,gleə,n&v. 眩目地照射，闪耀，瞪视,n&v. to look angrily at someone for a long time,ɡlɛr,【短语】glare at (怒视),She gave him a hostile glare.,她狠狠地瞪了他一眼。
fret,fret,v&n. 烦恼，侵蚀,"v&n. to worry about something, especially when there is no need",frɛt,【短语】fret over (为…着急),Don’t fret – everything will be all right.,别担心——一切都会好的。
admission,əd'mɪʃ(ə)n,n. 准入，接纳，承认,n. a statement in which you admit that something is true or that you have done something wrong,əd'mɪʃən,"【记忆】ad(表加强) + miss(送) + ion → 允许送入 → 允许进入 | 【短语】admission of sth (承认), admission ticket (门票；准考证；入场券), free admission (赠送券；免费入场券)","Reese, by his own admission , lacks the necessary experience.",里斯自己也承认缺乏必要的经验。
criminal,'krɪmɪn(ə)l,n. 罪犯；adj. 犯罪的，刑事上的,n. someone who is involved in illegal activities or has been proved guilty of a crime；adj. relating to crime,'krɪmɪnl,"【短语】criminal law (刑法), criminal procedure (刑事诉讼程序), criminal responsibility (刑事责任)",Police have described the man as a violent and dangerous criminal.,警方形容那名男子是个凶暴而危险的罪犯。
drastic,'dræstɪk; 'drɑː-,adj. 激烈的，猛烈的,adj. extreme and sudden,'dræstɪk,,drastic cuts in government spending,政府开支的急剧削减
lucid,'luːsɪd,adj. 清楚的，易懂的，神智清醒的,adj. expressed in a way that is clear and easy to understand,'lusɪd,【短语】lucid dream (n. 清醒梦；清明梦；清晰梦境),You must write in a clear and lucid style.,你的写作风格一定要清楚易懂。
simultaneous,",sɪm(ə)l'teɪnɪəs",adj. 同时发生的,adj. things that are simultaneous happen at exactly the same time,",saɪml'tenɪəs","【记忆】simul(相同) + taneous → 相同时间的 → 同时发生的 | 【短语】simultaneous interpretation (同声传译), simultaneous translation (同声传译；同步翻译), simultaneous measurement (同步量测；同时观测)",They grabbed each other’s hands in simultaneous panic.,他们俩同时惊慌起来，相互抓住对方的手。
static,'stætɪk,adj. 静止的，固定的；n. 静电干扰,"adj. not moving, changing, or developing；n. noise caused by electricity in the air that blocks or spoils the sound from radio or TV",'stætɪk,"【记忆】stat(坐) + ic → 坐着的 → 静止的 | 【短语】static electricity (n. 静电；静位觉), static state (静态状态), static pressure (静压)",Economists predict that house prices will remain static for a long period.,经济学家预测，房价将长期保持稳定。
redundant,rɪ'dʌnd(ə)nt,adj. 多余的，过剩的,adj. not necessary because something else means or does the same thing,rɪ'dʌndənt,"【记忆】red(=re一再) + und(波动) + ant(形容词后缀)→ 反复波动， 反复出现 → 多余的， 过剩的； 累赘的 | 【短语】redundant information (冗余信息), redundant system ([计]冗余系统), redundant code (冗余码)",the removal of redundant information,多余信息的删除
